train,time_arrival,time_departure,direction,weight(tons),headway(mins),delay(mins)
0001,2018-01-01 00:00:00,2018-01-01 00:00:00,A,2791,15,0
0002,2018-01-01 00:00:00,2018-01-01 00:00:00,A,4975,11,0
0003,2018-01-01 00:05:00,2018-01-01 00:05:00,A,3394,11,0
0004,2018-01-01 00:14:00,2018-01-01 00:14:00,A,5571,16,0
0005,2018-01-01 00:18:00,2018-01-01 00:18:00,A,4723,12,0
0006,2018-01-01 00:21:00,2018-01-01 00:21:00,A,3396,21,0
0007,2018-01-01 00:42:00,2018-01-01 00:42:00,A,2209,13,0
0008,2018-01-01 00:55:00,2018-01-01 00:55:00,A,2830,14,0
0009,2018-01-01 00:59:00,2018-01-01 00:59:00,B,4940,13,0
0010,2018-01-01 01:28:00,2018-01-01 01:28:00,B,3664,14,0
0011,2018-01-01 01:32:00,2018-01-01 01:32:00,A,3821,14,0
0012,2018-01-01 01:46:00,2018-01-01 01:46:00,A,6041,14,0
0013,2018-01-01 01:49:00,2018-01-01 01:49:00,B,5813,9,0
0014,2018-01-01 02:22:00,2018-01-01 02:22:00,A,3725,6,0
0015,2018-01-01 03:03:00,2018-01-01 03:03:00,B,4720,15,0
0016,2018-01-01 03:38:00,2018-01-01 03:38:00,B,3667,13,0
0017,2018-01-01 03:41:00,2018-01-01 03:41:00,A,8809,10,0
0018,2018-01-01 04:14:00,2018-01-01 04:14:00,B,3543,17,0
0019,2018-01-01 04:43:00,2018-01-01 04:43:00,A,2343,14,0
0020,2018-01-01 04:57:00,2018-01-01 04:57:00,A,5333,14,0
0021,2018-01-01 05:00:00,2018-01-01 05:00:00,A,4249,17,0
0022,2018-01-01 05:17:00,2018-01-01 05:17:00,B,4185,12,0
0023,2018-01-01 05:29:00,2018-01-01 05:29:00,A,5706,14,0
0024,2018-01-01 05:59:00,2018-01-01 05:59:00,A,6669,14,0
0025,2018-01-01 06:02:00,2018-01-01 06:02:00,B,4050,13,0
0026,2018-01-01 06:31:00,2018-01-01 06:31:00,B,6555,21,0
0027,2018-01-01 06:52:00,2018-01-01 06:52:00,B,3664,17,0
0028,2018-01-01 07:09:00,2018-01-01 07:09:00,B,5734,16,0
0029,2018-01-01 07:25:00,2018-01-01 07:25:00,A,8403,20,0
0030,2018-01-01 07:45:00,2018-01-01 07:45:00,B,5724,18,0
0031,2018-01-01 08:03:00,2018-01-01 08:03:00,A,7944,16,0
0032,2018-01-01 08:19:00,2018-01-01 08:19:00,A,7701,21,0
0033,2018-01-01 08:40:00,2018-01-01 08:40:00,B,3118,13,0
0034,2018-01-01 08:53:00,2018-01-01 08:53:00,A,4561,16,0
0035,2018-01-01 09:09:00,2018-01-01 09:09:00,A,6858,13,0
0036,2018-01-01 09:11:00,2018-01-01 09:11:00,A,1505,17,0
0037,2018-01-01 09:12:00,2018-01-01 09:12:00,A,3651,13,0
0038,2018-01-01 09:13:00,2018-01-01 09:13:00,B,4060,17,0
0039,2018-01-01 09:30:00,2018-01-01 09:30:00,A,4728,12,0
0040,2018-01-01 09:42:00,2018-01-01 09:42:00,A,4979,15,0
0041,2018-01-01 09:46:00,2018-01-01 09:46:00,A,4272,10,0
0042,2018-01-01 09:52:00,2018-01-01 09:52:00,A,5377,15,0
0043,2018-01-01 09:58:00,2018-01-01 09:58:00,A,6253,10,0
0044,2018-01-01 10:04:00,2018-01-01 10:04:00,A,4659,17,0
0045,2018-01-01 10:08:00,2018-01-01 10:08:00,B,4530,15,0
0046,2018-01-01 10:23:00,2018-01-01 10:23:00,A,3202,15,0
0047,2018-01-01 10:38:00,2018-01-01 10:38:00,B,5629,19,0
0048,2018-01-01 10:57:00,2018-01-01 10:57:00,B,4178,15,0
0049,2018-01-01 11:12:00,2018-01-01 11:12:00,B,3319,13,0
0050,2018-01-01 11:15:00,2018-01-01 11:15:00,B,6172,14,0
0051,2018-01-01 11:19:00,2018-01-01 11:19:00,B,4797,17,0
0052,2018-01-01 11:36:00,2018-01-01 11:36:00,A,5091,9,0
0053,2018-01-01 12:06:00,2018-01-01 12:06:00,A,3625,13,0
0054,2018-01-01 12:15:00,2018-01-01 12:15:00,B,3272,19,0
0055,2018-01-01 12:34:00,2018-01-01 12:34:00,A,3919,15,0
0056,2018-01-01 12:49:00,2018-01-01 12:49:00,B,2558,11,0
0057,2018-01-01 13:19:00,2018-01-01 13:19:00,B,835,10,0
0058,2018-01-01 13:29:00,2018-01-01 13:29:00,A,3152,15,0
0059,2018-01-01 14:00:00,2018-01-01 14:00:00,B,1921,15,0
0060,2018-01-01 14:15:00,2018-01-01 14:15:00,B,4033,15,0
0061,2018-01-01 14:16:00,2018-01-01 14:16:00,A,5010,15,0
0062,2018-01-01 14:31:00,2018-01-01 14:31:00,A,4858,15,0
0063,2018-01-01 14:32:00,2018-01-01 14:32:00,A,3337,16,0
0064,2018-01-01 14:48:00,2018-01-01 14:48:00,B,5196,11,0
